**Venue**,Engels Conference Center B.V. Stationsplein 45 3013 AK Rotterdam Nederland
**Who**,"All Varnish Cache Users, Developers, Administrators, Web Architects and other techies wanting to know more about the software and how it is used by others."
**Booking**, `Get your ticket on Eventbrite <http://vug10.eventbrite.co.uk>`_ !
