View,File name,Size
image9, `00-VUG7-Intro-Ruben.pdf <https://www.varnish-cache.org/news/files/00-VUG7-Intro Ruben.pdf>`_,( 190.02 KB )
image10,`01-VUG7-Keynote-phk\_dude-where-is-my-varnish.pdf <https://www.varnish-cache.org/news/files/01-VUG7-Keynote-phk_dude-where-is-my-varnish.pdf>`_ ,( 2.84 MB )
image11,`02-VUG7-Reza-Naghibi-dclass-and-varnish.pdf <https://www.varnish-cache.org/news/files/02-VUG7-Reza-Naghibi-dclass-and-varnish.pdf>`_ ,(148.46 KB)
image12,`04-VUG7-Tollef-Fog-Heen-Release-Status.pdf <https://www.varnish-cache.org/news/files/04-VUG7-Tollef-Fog-Heen-Release-Status.pdf>`_ ,(165.53 KB)
image13,`06-VUG7-Shohei\_Tanaka-GREE\_Inc-Lost\_in\_Translation\_varnishlog\_varnishtest.pdf <https://www.varnish-cache.org/news/files/06-VUG7-Shohei_Tanaka-GREE_Inc-Lost_in_Translation_varnishlog_varnishtest.pdf>`_,(1.85 MB)
image14,`08-VUG7-Matt\_Robenolt-Disqus-Caching\_is\_Hard\_Varnish\_at\_Disqus.pdf <https://www.varnish-cache.org/news/files/08-VUG7-Matt_Robenolt-Disqus-Caching_is_Hard_Varnish_at_Disqus.pdf>`_ ,(586.35 KB)
image15,`09-VUG7-Varnish\_Tools\_Tech\_DagHF-Ruben.pdf <https://www.varnish-cache.org/news/files/09-VUG7-Varnish_Tools_Tech_DagHF-Ruben.pdf>`_ ,(1.13 MB)
