**Venue**,"`Wayra Barcelona, Plaça d'Ernest Lluch i Martin 5, Barcelona <https://www.google.com/maps/place/Pla%C3%A7a+d'Ernest+Lluch+i+Martin,+5,+08019+Barcelona,+B,+Spain/@41.4120919,2.2207155,17z/data=!3m1!4b1!4m2!3m1!1s0x12a4a3570342f1b3:0x2c00c3aa0e86bf1c?hl=en>`_"
**Who**,We invite the Catalan community to meet the Varnish team and help us shape the future of our software!
**Agenda**,"Poul-Henning Kamp, Varnish Chief Architect will have a talk. Otherwise the plan is to have a session to talk about documentation improvements, talk about what features you would like to see in future Varnish releases, share and exchange experiences with VCL, ask general questions about Varnish and anything else you can think of."
**Registration**,Please register on `meeting's page at Meetup.com <http://www.meetup.com/varnishbarcelona/events/214006872/>`_ and do not forget to bring ID the day of the event.
